FamId	ExternalId	IntSampleId
MGH510	MGH510-05	JS 7728
MGH511	MGH511-01	JS 7729
MGH512	MGH512-01	JS 7730
MGH512	MGH512-02	JS 7731
MGH513	MGH513-01	JS 7732
MGH513	MGH513-02	JS 7733
MGH513	MGH513-03	JS7734
MGH514	MGH514-01	JS 7735
MGH514	MGH514-02	JS 7736
MGH514	MGH514-03	JS 7737
RVH001	RVH001-01	JS 7738
RVH001	RVH001-02	JS 7739
RVH001	RVH001-03	JS 7740
RVH001	RVH001-04	JS 7741
RVH002	RVH002-01	JS 7742
RVH002	RVH002-02	JS 7743
RVH002	RVH002-03	JS 7744
RVH003	RVH003-01	JS 7745
RVH003	RVH003-02	JS 7746
RVH003	RVH003-03	JS 7747
RVH003	RVH003-04	JS 7748
RVH004	RVH004-01	JS 7749
RVH004	RVH004-02	JS 7750
RVH004	RVH004-03	JS 7751
RVH004	RVH004-04	JS 7752
RVH005	RVH005-01	JS 7753
RVH005	RVH005-02	JS 7754
RVH005	RVH005-03	JS 7755
RVH006	RVH006-01	JS 7756
RVH006	RVH006-02	JS 7757
RVH006	RVH006-03	JS 7758
RVH007	RVH007-01	JS 7759
RVH007	RVH007-02	JS 7760
RVH007	RVH007-03	JS 7761
RVH008	RVH008-01	JS 7762
RVH008	RVH008-02	JS 7763
RVH008	RVH008-03	JS 7764
RVH010	RVH010-01	JS 7765
RVH010	RVH010-02	JS 7766
RVH010	RVH010-03	JS 7767
RVH011	RVH011-01	JS 7768
RVH011	RVH011-02	JS 7769
RVH011	RVH011-03	JS 7770
RVH011	RVH011-04	JS 7771
RVH013	RVH013-01	JS 7772
RVH013	RVH013-02	JS 7773
RVH013	RVH013-03	JS 7774
RVH014	RVH014-01	JS 7775
RVH014	RVH014-02	JS 7776
RVH014	RVH014-03	JS 7777
RVH015	RVH015-01	JS 7778
RVH015	RVH015-02	JS 7779
RVH015	RVH015-03	JS 7780
RVH015	RVH015-04	JS 7781
RVH015	RVH015-05	JS 7782
RVH016	RVH016-01	JS 7783
RVH016	RVH016-02	JS 7784
RVH016	RVH016-03	JS 7785
RVH016	RVH016-04	JS 7786
RVH017	RVH017-02	JS 7787
RVH017	RVH017-03	JS 7788
RVH017	RVH017-04	JS 7789
RVH018	RVH018-01	JS 7790
RVH018	RVH018-02	JS 7791
RVH018	RVH018-03	JS 7792
RVH019	RVH019-01	JS 7793
RVH019	RVH019-02	JS 7794
RVH019	RVH019-03	JS 7795
RVH020	RVH020-01	JS 7796
RVH020	RVH020-02	JS 7797
RVH020	RVH020-03	JS 7798
RVH020	RVH020-05	JS 7799
RVH020	RVH020-06	JS 7800
RVH020	RVH020-07	JS 7801
RVH021	RVH021-01	JS 7802
RVH021	RVH021-02	JS 7803
RVH021	RVH021-03	JS 7804
RVH021	RVH021-04	JS 7805
RVH021	RVH021-05	JS 7806
RVH021	RVH021-06	JS 7807
RVH022	RVH022-01	JS 7808
RVH022	RVH022-02	JS 7809
RVH022	RVH022-03	JS 7810
RVH023	RVH023-01	JS 7811
RVH023	RVH023-02	JS 7812
RVH023	RVH023-03	JS 7813
RVH023	RVH023-04	JS 7814
RVH023	RVH023-05	JS 7815
RVH024	RVH024-01	JS 7816
RVH024	RVH024-02	JS 7817
RVH024	RVH024-03	JS 7818
RVH024	RVH024-04	JS 7819
RVH025	RVH025-01	JS 7820
RVH025	RVH025-02	JS 7821
RVH025	RVH025-03	JS 7822
RVH026	RVH026-01	JS 7823
RVH026	RVH026-02	JS 7824
RVH026	RVH026-03	JS 7825
RVH027	RVH027-01	JS 7826
RVH027	RVH027-02	JS 7827
RVH027	RVH027-03	JS 7828
RVH028	RVH028-01	JS 7829
RVH028	RVH028-02	JS 7830
RVH028	RVH028-03	JS 7831
RVH028	RVH028-04	JS 7832
RVH028	RVH028-05	JS 7833
RVH028	RVH028-06	JS 7834
RVH029	RVH029-01	JS 7835
RVH029	RVH029-02	JS 7836
RVH029	RVH029-03	JS 7837
RVH030	RVH030-01	JS 7838
RVH030	RVH030-02	JS 7839
RVH030	RVH030-03	JS 7840
RVH100	RVH100-01	JS 7841
RVH100	RVH100-02	JS 7842
RVH100	RVH100-03	JS 7843
RVH101	RVH101-01	JS 7844
RVH101	RVH101-02	JS 7845
RVH101	RVH101-03	JS 7846
RVH102	RVH102-01	JS 7847
RVH102	RVH102-02	JS 7848
RVH102	RVH102-03	JS 7849
RVH103	RVH103-01	JS 7850
RVH103	RVH103-02	JS 7851
RVH103	RVH103-03	JS 7852
RVH104	RVH104-01	JS 7853
RVH104	RVH104-02	JS 7854
RVH104	RVH104-03	JS 7855
RVH105	RVH105-01	JS 7856
RVH105	RVH105-02	JS 7857
RVH105	RVH105-03	JS 7858
RVH106	RVH106-01	JS 7859
RVH106	RVH106-02	JS 7860
RVH106	RVH106-03	JS 7861
RVH107	RVH107-01	JS 7862
RVH107	RVH107-02	JS 7863
RVH107	RVH107-03	JS 7864
RVH108	RVH108-01	JS 7865
RVH108	RVH108-02	JS 7866
RVH108	RVH108-03	JS 7867
RVH109	RVH109-01	JS 7868
RVH109	RVH109-02	JS 7869
RVH109	RVH109-03	JS 7870
RVH110	RVH110-01	JS 7871
RVH110	RVH110-02	JS 7872
RVH110	RVH110-03	JS 7873
RVH111	RVH111-01	JS 7874
RVH111	RVH111-02	JS 7875
RVH111	RVH111-03	JS 7876
RVH112	RVH112-01	JS 7877
RVH112	RVH112-02	JS 7878
RVH112	RVH112-03	JS 7879
RVH113	RVH113-01	JS 7880
RVH113	RVH113-02	JS 7881
RVH113	RVH113-03	JS 7882
RVH114	RVH114-01	JS 7883
RVH114	RVH114-02	JS 7884
RVH114	RVH114-03	JS 7885
RVH115	RVH115-01	JS 7886
RVH115	RVH115-02	JS 7887
RVH115	RVH115-03	JS 7888
RVH116	RVH116-01	JS 7889
RVH116	RVH116-02	JS 7890
RVH116	RVH116-03	JS 7891
RVH116	RVH116-04	JS 7892
RVH117	RVH117-01	JS 7893
RVH117	RVH117-02	JS 7894
RVH117	RVH117-03	JS 7895
RVH118	RVH118-01	JS 7896
RVH118	RVH118-03	JS 7897
RVH118	RVH118-04	JS 7898
RVH120	RVH120-01	JS 7899
RVH120	RVH120-02	JS 7900
RVH120	RVH120-03	JS 7901
RVH121	RVH121-01	JS 7902
RVH121	RVH121-02	JS 7903
RVH121	RVH121-03	JS 7904
RVH122	RVH122-01	JS 7905
RVH122	RVH122-02	JS 7906
RVH122	RVH122-03	JS 7907
RVH123	RVH123-01	JS 7908
RVH123	RVH123-02	JS 7909
RVH123	RVH123-03	JS 7910
RVH126	RVH126-01	JS 7911
RVH126	RVH126-02	JS 7912
RVH126	RVH126-03	JS 7913
RVH129	RVH129-01	JS 7914
RVH129	RVH129-02	JS 7915
RVH129	RVH129-03	JS 7916
RVH129	RVH129-04	JS 7917
RVH129	RVH129-05	JS 7918
RVH129	RVH129-06	JS 7919
RVH129	RVH129-07	JS 7920
RVH129	RVH129-08	JS 7921
RVH130	RVH130-01	JS 7922
RVH130	RVH130-02	JS 7923
RVH130	RVH130-03	JS 7924
RVH130	RVH130-04	JS 7925
RVH131	RVH131-01D	JS 7926
RVH131	RVH131-02D	JS 7927
RVH131	RVH131-03D	JS 7928
SHR800	SHR800-01	JS 7929
SHR800	SHR800-02	JS 7930
SHR800	SHR800-03	JS 7931
SHR801	SHR801-01	JS 7932
SHR801	SHR801-02	JS 7933
SHR801	SHR801-03	JS 7934
SHR802	SHR802-01	JS 7935
SHR802	SHR802-02	JS 7936
SHR802	SHR802-03	JS 7937
SHR803	SHR803-01	JS 7938
SHR803	SHR803-02	JS 7939
SHR803	SHR803-03	JS 7940
SHR804	SHR804-01	JS 7941
SHR804	SHR804-02	JS 7942
SHR804	SHR804-03	JS 7943
SHR805	SHR805-01	JS 7944
